(0.0, 0.0, 0.0, 0.0)
(-0.02947998046875, 0.384765625, 0.01116943359375, 0.9224853515625)
(0.0206298828125, 0.15240478515625, -0.0135498046875, 0.988037109375)
(0.02490234375, 0.1048583984375, -0.0235595703125, 0.993896484375)
(0.02069091796875, 0.00494384765625, -0.05706787109375, 0.9981689453125)
(-0.00213623046875, -0.25665283203125, -0.13818359375, 0.95654296875)
(-0.01043701171875, -0.3197021484375, -0.14752197265625, 0.9359130859375)
(-0.02642822265625, -0.412353515625, -0.15087890625, 0.8980712890625)
(-0.06414794921875, -0.6025390625, -0.1474609375, 0.78173828125)
(-0.0712890625, -0.6595458984375, -0.1380615234375, 0.73541259765625)
(-0.08355712890625, -0.74432373046875, -0.1141357421875, 0.6527099609375)
(-0.10479736328125, -0.85284423828125, -0.06640625, 0.50726318359375)
(-0.11578369140625, -0.8753662109375, -0.0555419921875, 0.46612548828125)
(-0.14404296875, -0.92547607421875, -0.02679443359375, 0.349365234375)
(-0.17864990234375, -0.95233154296875, 0.048828125, 0.2423095703125)
(-0.186767578125, -0.95318603515625, 0.075927734375, 0.2254638671875)
(-0.19146728515625, -0.9468994140625, 0.182861328125, 0.182373046875)
(-0.16473388671875, -0.89111328125, 0.38311767578125, 0.1788330078125)
(-0.16046142578125, -0.8580322265625, 0.45538330078125, 0.17529296875)
(-0.14935302734375, -0.79351806640625, 0.56964111328125, 0.15325927734375)
(-0.1058349609375, -0.61248779296875, 0.76251220703125, 0.1795654296875)
(-0.095703125, -0.5762939453125, 0.78936767578125, 0.18878173828125)
(-0.0667724609375, -0.48931884765625, 0.84368896484375, 0.21044921875)
(-0.0303955078125, -0.40985107421875, 0.8896484375, 0.1990966796875)
(-0.02801513671875, -0.44549560546875, 0.8768310546875, 0.1785888671875)
(-0.038818359375, -0.57452392578125, 0.79779052734375, 0.17852783203125)
(-0.04827880859375, -0.78619384765625, 0.5914306640625, 0.17266845703125)
(-0.05133056640625, -0.83050537109375, 0.52978515625, 0.16412353515625)
(-0.07232666015625, -0.89703369140625, 0.39227294921875, 0.19036865234375)
(-0.1351318359375, -0.95001220703125, 0.0953369140625, 0.26483154296875)
(-0.14837646484375, -0.942138671875, 0.04449462890625, 0.29730224609375)
(-0.153076171875, -0.88140869140625, -0.03857421875, 0.4451904296875)
(-0.1162109375, -0.7357177734375, -0.13763427734375, 0.65289306640625)
(-0.12255859375, -0.6953125, -0.1474609375, 0.69268798828125)
(-0.15496826171875, -0.607421875, -0.14697265625, 0.76513671875)
(-0.23138427734375, -0.4881591796875, -0.08612060546875, 0.83709716796875)
(-0.2459716796875, -0.43939208984375, -0.074951171875, 0.8607177734375)
(-0.27764892578125, -0.32666015625, -0.029052734375, 0.9029541015625)
(-0.27105712890625, -0.113037109375, 0.05853271484375, 0.9541015625)
(-0.26513671875, -0.055908203125, 0.0806884765625, 0.959228515625)
(-0.18853759765625, 0.013916015625, 0.08349609375, 0.9783935546875)
(-0.0855712890625, 0.13623046875, -0.009521484375, 0.9869384765625)
(-0.07354736328125, 0.17529296875, -0.028076171875, 0.98138427734375)
(-0.03173828125, 0.2545166015625, -0.03466796875, 0.9659423828125)
